objectid,title,creator,date,description,subject,location,source,publisher,date_digital,acknowledgement,rights,type,format,identifier,language,citation,oclc_number,date_update1,date_update2,reference_url,cdmid,contentdm_file_name,contentdm_file_path
sa1921flood10,Damage from Alazan Creek,United States. Army. Corps of Engineers,1921,Transcription: Alazan Damage 1921,floods,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,BB044c,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-10,2021-03-10,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/10,10,11.jp2,/sa1921flood/image/11.jp2
sa1921flood11,South Flores Street,United States. Army. Corps of Engineers,1921,Transcription: San Pedro Creek S. Flores St.,floods; streets,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,BB047b,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-10,2021-03-10,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/11,11,15.jp2,/sa1921flood/image/15.jp2
sa1921flood12,Apache Creek at South Laredo Street,United States. Army. Corps of Engineers,1921,"Transcription: Apache Creek S Laredo St. Length 103' 9'0"" Highwater 6'0""",floods; bridges,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,AA042c,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-10,2021-03-10,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/12,12,7.jp2,/sa1921flood/image/7.jp2
sa1921flood13,Elmendorf Lake Dam,United States. Army. Corps of Engineers,1921,Transcription: Dam Elmendorf Lake. Head of Apache Creek.,floods; dams; lakes & ponds,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,AA042a,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-10,2021-03-10,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/13,13,13.jp2,/sa1921flood/image/13.jp2
sa1921flood14,AA042d,United States. Army. Corps of Engineers,1921,,floods; houses,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,AA042d,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-10,2021-03-10,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/14,14,12.jp2,/sa1921flood/image/12.jp2
sa1921flood15,Buena Vista Playground Wreckage,United States. Army. Corps of Engineers,1921,Transcription: All that remains of Buena Vista play grounds. Alazan Creek,floods; playgrounds,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,BB044d,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-10,2021-03-10,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/15,15,16.jp2,/sa1921flood/image/16.jp2
sa1921flood16,Apache Creek at Guadalupe Street,United States. Army. Corps of Engineers,1921,"Transcription: Apache Creek Guadalupe St. Length 83'. Highwater 7'0"", 9'4""",floods; bridges,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,AA042b,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-10,2021-03-10,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/16,16,9.jp2,/sa1921flood/image/9.jp2
sa1921flood17,Homes Washed Away,United States. Army. Corps of Engineers,1921,Transcription: Dozens of homes washed away Alazan,floods,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,BB044a,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-10,2021-03-10,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/17,17,4.jp2,/sa1921flood/image/4.jp2
sa1921flood18,Gunter Hotel,United States. Army. Corps of Engineers,1921,Transcription: Gunter Hotel E. Houston St,floods; hotels,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,BB045b,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-10,2021-03-10,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/18,18,10.jp2,/sa1921flood/image/10.jp2
sa1921flood19,East Houston Street,United States. Army. Corps of Engineers,1921,Transcription: E. Houston St. from bridge east daybreak Sep 1921,floods; streets,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,BB045d,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-10,2021-03-10,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/19,19,1.jp2,/sa1921flood/image/1.jp2
sa1921flood20,Map of San Antonio...Showing Amount of Rainfall and Area of Watersheds,United States. Army. Corps of Engineers,1921,"Map of San Antonio, Texas and Vicinity showing amount of rainfall and area of watersheds of the San Antonio River, Olmos, Martinez, Alazan, Zarzamora (Apache) and San Pedro Creeks. Sept. 9th & 10th 1921. Scale 1:62500. Countour Interval 10 ft. Prepared in Office of the Engineer, Eigth Corps Area. Data drawn by Aug. Rehberg, Jr. Date: September 17th 1921. Base U.S.G.S. and P.M.M. Sheets.",maps; floods,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Maps,image/jpeg,map1,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-10,2021-03-10,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/20,20,21.jp2,/sa1921flood/image/21.jp2
sa1921flood21,"San Antonio, Texas Showing Area Flooded",United States. Army. Corps of Engineers,1921,"San Antonio,Texas showing area flooded Sept. 9-10 1921. Scale 1 inch=1200'. Contour Interval 2ft. Prepared in Office of the Engineer, Eighth Corps Area. Base map furnished by City Engineer, San Antonio, Texas. Data drawn by Frank J. Nixon. Date September 24-1921. Large figures in flooded area indicate maximum depths of water.",maps; floods,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Maps,image/jpeg,map2,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-10,2021-03-10,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/21,21,22.jp2,/sa1921flood/image/22.jp2
sa1921flood22,Aerial Mosaic Showing Romana-Houston Street Cut-off,United States. Army. Corps of Engineers,1921,"Transcription: Exhibit J. Aerial Mosaics Showing Romana-Houston Street Cut-off. Photos by 1st Lts. Halsey L. Bingham, and Harold L. Rivers, Air Service.",floods; aerial photographs,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,J032,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-25,2021-03-25,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/22,22,25.jp2,/sa1921flood/image/25.jp2
sa1921flood23,Aerial Mosaic Showing Arsenal Street Cut-off,United States. Army. Corps of Engineers,1921,"Transcription: Exhibit M. Aerial Mosaic Showing Arsenal Street Cut-off. Photos by 1st Lts. Halsey L. Bingham and Harold L. Rivers, Air Service.",floods; aerial photographs,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,M036,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-25,2021-03-25,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/23,23,24.jp2,/sa1921flood/image/24.jp2
sa1921flood24,Park Hills Estates Advertisement,"Thorman, H.C.",,Park Hills Estates advertisements appealed the city's automobile-owning elite.,dams; real estate development; advertisements,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-25,2021-03-25,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/24,24,23.jp2,/sa1921flood/image/23.jp2
sa1921flood25,"Aerial Mosaic Showing ""Great Bend"" Nueva Street Cut-off",United States. Army. Corps of Engineers,1921,"Transcription: Exhibit K. Aerial Mosaic Showing ""Great Bend"" -Nueva Street Cut-off. Photos by 1st Lts. Halsey L. Bingham, and Harold L. Rivers, Air Service.",floods; aerial photographs,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,K033,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-25,2021-03-25,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/25,25,27.jp2,/sa1921flood/image/27.jp2
sa1921flood26,Composite of Aerial Photographs (Flight No. 1),United States. Army. Corps of Engineers,1921,"Transcription: Flight No. 1. Flood of September 9-10, 1921. Photos by: 1st Lts. Halsey L. Bingham and Harold L. Rivers, Air Service.",aerial photographs; floods,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,aerialphoto_flight1,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-25,2021-03-25,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/26,26,28.jp2,/sa1921flood/image/28.jp2
sa1921flood27,"Aerial Mosaic Showing 9th Street, 4th Street or Trenton Avenue Cut-offs",United States. Army. Corps of Engineers,1921,"Transcription: Exhibit H. Aerial Mosaics Showing 9th Street, 4th Street or Trenton Avenue Cut-offs. Photos by 1st Lts. Halsey L. Bingham, and Harold L. Rivers, Air Service.",floods; aerial photographs,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,H031,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-25,2021-03-25,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/27,27,30.jp2,/sa1921flood/image/30.jp2
sa1921flood28,Composite of Aerial Photographs,United States. Army. Corps of Engineers,1921,,floods; aerial photographs,San Antonio (Tex.),,"Elizabeth Huth Coates Library Special Collections & Archives, Trinity University.",2021,"Materials in this collection were acquired from Dr. Char Miller, the W.M. Keck Professor of Environmental Analysis and History at Pomona College.  Digitization was performed by students Anam Mehta (Pomona College), Natalie Quek (Scripps College), and Katie Graham (Scripps College).","This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",Photographic prints,image/jpeg,Efull1,eng,"[Image title], Coates Library Digital Collections, Trinity University, San Antonio, Texas.",,2021-03-25,2021-03-25,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/sa1921flood/id/28,28,26.jp2,/sa1921flood/image/26.jp2
