objectid,title,campus,creator,description,subject,people,location,date,transcription,item_information,source,citation,collection,publisher,scanning_info,date_digital,type,format,rights,identifier,language,date_update1,date_update2,reference_url,cdmid,contentdm-file-name,contentdm_file_path
p16264coll610,Boyd House,Tehuacana,"Trinity University (San Antonio, Tex.)",Cabinet card depicting a front view of Boyd House on Trinity University's Tehuacana campus.,Universities & colleges; Buildings,,Tehuacana (Tex.),1900?,"[front] Trinity University. Tehucana, Texas. 1869-1873",Photographic prints; Albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_012,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/10,10,11.jpg,/p16264coll6/image/11.jpg
p16264coll611,"Boyd House, rear view",Tehuacana,"Trinity University (San Antonio, Tex.)","Cabinet card depicting a rear view of Boyd House, on Trinity University's Tehuacana campus.",Universities & colleges; Buildings,,Tehuacana (Tex.),1873?,[back] First house of Trinity University,Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_013,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/11,11,12.jpg,/p16264coll6/image/12.jpg
p16264coll612,"Women's Dormitory, half-tone print",Tehuacana,"Trinity University (San Antonio, Tex.)",A half-tone print of the women's dormitory on the Trinity University Tehuacana campus.,Universities & colleges; Buildings; Dormitories,,Tehuacana (Tex.),1880?,[front] Sanders Co. St. Louis,Halftone photomechanical prints; Photographic prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_016,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/12,12,13.jpg,/p16264coll6/image/13.jpg
p16264coll613,Women's Dormitory,Tehuacana,"Trinity University (San Antonio, Tex.)","Front view of the women's dormitory at Trinity University's Tehuacana campus. In 1895, at the cost of $6,000, the university purchased a private residence in Tehuacana and remodeled and enlarged it into a dormitory for women. President L. A. Johnson and his wife lived in the house as supervisors.",Universities & colleges; buildings; dormitories,,Tehuacana (Tex.),1880?,"[back] Trinity's first boarding house for girls at Tehuacana, Texas",Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_015,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/13,13,14.jpg,/p16264coll6/image/14.jpg
p16264coll614,Tehuacana Springs,Tehuacana,"Trinity University (San Antonio, Tex.)",Scenic view of the Tehuacana Springs.,Springs; Nature,,Tehuacana (Tex.),1890?,[front] Old Berry Springs Tehuacana,Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_020,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/14,14,15.jpg,/p16264coll6/image/15.jpg
p16264coll615,Bodenhamer House,Tehuacana,"Trinity University (San Antonio, Tex.)","The home of Rev. D.S. Bodenhamer, professor of mathematics at Trinity University, with the Rankin family (later occupents of the home) posed in front. The verso of the photograph contains a lengthy description of the home written by Mrs. G. E. Dodd of Brownsville, Texas, whose parents owned the home at one time, recounting how the home's well provided water for the entire Trinity community.",Universities & colleges; Buildings; Homes & haunts,,Tehuacana (Tex.),1885?,"[back] This old residence was at one time the home of Dr. and Mrs. D.S. Bodenhiemer (I am not certain of the spelling), later of my parents, Mr. & Mrs. Frank Smith. It was across the street from the back campus of Trinity University, in Tehuacana; also across the side street from the Girls' Dormitory and a cottage I remember as home of Dr. Hornbeak (Sorry! I again am not sure of the spelling). I am sure, tho, that your historian can supply a correction if needed). A wonderful well of water in the yard of this home supplied the University with drinking water carried in large buckets by the janitor, the one I remember as being a ""Mr. Bridges"". B.S.D. P.S. The family in the picture is that of Mr. Rankin, who occupied the house after my family ad moved away from Tehuacana.",Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_17,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/15,15,16.jpg,/p16264coll6/image/16.jpg
p16264coll616,Gillespie House,Tehuacana,"Trinity University (San Antonio, Tex.)","The home of William and Kate Gillespie (center), professors at Trinity University. Pictured with the Gillespies are students and family members.",Universities & colleges; Buildings; Homes & haunts,"Gillespie, William P.; Gillespie, Kate",Tehuacana (Tex.),1902,"[front] Gillespie House Tehuacana [back] Larry Adamson, Sr, Grandfather's house. August 10, 1902",Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_018,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/16,16,17.jpg,/p16264coll6/image/17.jpg
p16264coll617,Literary Society Meeting Hall,Tehuacana,"Trinity University (San Antonio, Tex.)",Cabinet card of the meeting hall of the Trinity University Literary Society on the Tehuacana campus.,Universities & colleges; Halls; Stages (Platforms),,Tehuacana (Tex.),1898,"[front] Hall of the Literary Society, Trinity at Tehuacana, 1898.",Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_022,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/17,17,18.jpg,/p16264coll6/image/18.jpg
p16264coll618,Tehuacana Rocks,Tehuacana,"Trinity University (San Antonio, Tex.)","Scenic view of rocks and a stream in Tehuacana, Texas.",Streams; Rocks; Nature,,Tehuacana (Tex.),1890?,[front] Tehuacana Rocks,Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_021,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/18,18,19.jpg,/p16264coll6/image/19.jpg
p16264coll619,Ratio-Maeonian Society Hall,Tehuacana,"Trinity University (San Antonio, Tex.)",Meeting hall of the Ratio-Maeonian Literary Society at Trinity University in Tehuacana.,Universities & colleges; Halls,,Tehuacana (Tex.),1898?,"[front] Ratio Maeonian Hall, Tehuacana",Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_024,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/19,19,20.jpg,/p16264coll6/image/20.jpg
p16264coll620,Ratio-Maeonian Society Hall,Tehuacana,"Trinity University (San Antonio, Tex.)",Meeting hall of the Ratio-Maeonian Literary Society at Trinity University in Tehuacana.,Universities & colleges; Halls; Stages (Platforms),,Tehuacana (Tex.),1898?,"[back] Ratio Maeonian Hall, Tehuacana, TX",Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_023,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/20,20,21.jpg,/p16264coll6/image/21.jpg
p16264coll621,Science Laboratory,Tehuacana,"Trinity University (San Antonio, Tex.)",View of a chemistry laboratory on Trinity University's Tehuacana campus,Universities & colleges; Laboratories; Classrooms,,Tehuacana (Tex.),1895,[back] Chemical Laboratory at Tehuacana as furnished in 1895,Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_025,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/21,21,22.jpg,/p16264coll6/image/22.jpg
p16264coll622,Chemistry Laboratory,Tehuacana,"Trinity University (San Antonio, Tex.)",Chemistry laboratory on Trinity University's Tehuacana campus.,Universities & colleges; Laboratories; Classrooms,,Tehuacana (Tex.),1869,[back] Chemistry Laboratory 1869,Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_026,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/22,22,23.jpg,/p16264coll6/image/23.jpg
p16264coll623,Trinity Students,Tehuacana,"Trinity University (San Antonio, Tex.)",Group portrait of Trinity University students. Some individuals have been identified on the recto in blue ink.,Universities & colleges; students,"Fitzhugh, W.B.; Newton, George; Stephens, J.W.; Whitfield, A.B.; Fitzhugh, O.M.; Boyd, Mattie; Kilbourn, C.; Hendrix, Ed; Irving, Robert; Maness, H.D.",Tehuacana (Tex.),1892,[front] W.B. Fitzhugh. Geo. Newton. Stephens. Maness. Whitfield. O.M. Fitzhugh. Mattie Boyd. 1892. C. Kilbourn. Ed Hendrix. R.L. Irvin,Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections &amp; Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_041,eng,7/11/2017,7/11/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/23,23,24.jpg,/p16264coll6/image/24.jpg
p16264coll624,Ministerial and Missionary Candidates,Tehuacana,"Trinity University (San Antonio, Tex.)","Cabinet card featuring a photograph of the students who were studying to be ministers or missionaries at Trinity University, posing on the Tehuacana Rocks.",Universities & colleges; students,,Tehuacana (Tex.),1890?,[back] group of ministers & missionaries at Tehuacana Rocks,Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_030,eng,7/11/2017,7/11/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/24,24,25.jpg,/p16264coll6/image/25.jpg
p16264coll625,Reunion of Tehuacana students,Waxahachie;,"Trinity University (San Antonio, Tex.)",Reunion of Trinity University students who graduated from the school during the Tehuacana years. This photograph was taken on the steps of the Main Building on the Waxahachie campus. Among those pictured is Reverend L.C. Collier (class of 1878) and A.B. Watkins (class of 1877).,Universities & colleges; Alumni & alumnae; Reunions,"Collier, L.C.; Watkins, A.B.",Waxahachie (Tex.),1928?,"[back] Alumni reunion picture in front of the Main Building of the Waxahachie Campus in Waxahachie, Texas. Rev. M.C. [sic] Collier, Watkins",Photographic prints; gelatin silver prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_027,eng,7/11/2017,7/11/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/25,25,26.jpg,/p16264coll6/image/26.jpg
